127.0.0.1 - - [23/Aug/2024:16:11:22 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/ HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/css/H-ui.login.css HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/easyui/themes/icon.css HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/lib/icheck/icheck.css HTTP/1.1" 200 12007
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/easyui/themes/default/easyui.css HTTP/1.1" 200 55580
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/lib/icheck/jquery.icheck.min.js HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/easyui/jquery.easyui.min.js HTTP/1.1" 200 365526
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/easyui/jquery.min.js HTTP/1.1" 200 93636
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/zzuLogo.png HTTP/1.1" 200 2666410
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/images/admin-loginform-bg.png HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/images/admin-login-bg.jpg HTTP/1.1" 200 179692
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/lib/icheck/blue.png HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/h-ui/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/LoginServlet?method=GetVCode HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:28 +0800] "GET /EducationalSystem/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "POST /EducationalSystem/LoginServlet?method=Login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "POST /EducationalSystem/LoginServlet?method=Login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/LoginServlet?method=AdminView HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/LoginServlet?method=AdminView HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/css/default.css HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/js/outlook2.js HTTP/1.1" 200 4173
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/images/layout-browser-hd-bg.gif HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/images/tabicons.png HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/icons/text_list_bullets.png HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/icons/user_gray.png HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/icons/user_red.png HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:39 +0800] "GET /EducationalSystem/easyui/themes/icons/book_open_mark.png HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:45 +0800] "GET /EducationalSystem HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:45 +0800] "GET /EducationalSystem/ HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:45 +0800] "GET /EducationalSystem/LoginServlet?method=GetVCode HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "POST /EducationalSystem/LoginServlet?method=Login HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/LoginServlet?method=TeacherView HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/images/layout-browser-hd-bg.gif HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/images/tabicons.png HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/themes/icons/find.png HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/themes/icons/asterisk_orange.png HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/themes/icons/note.png HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/TeacherServlet?method=TeacherPersonalView HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/css/demo.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/js/validateExtends.js HTTP/1.1" 200 5029
